uniprot	rxnName	Kcat	ECC	rxnID	delta_V	delta_Ea	option
prot_P00549	Pyruvate kinase (No1)	232	0.618913333125453	CDCNo1	6.18912714174262e-07	9.99998999938832e-07	1
prot_P16862	Phosphofructokinase (No1)	356.999547324574	0.486469206736628	PFKNo1	4.86468720161818e-07	9.9999899978292e-07	1
prot_P16862	Phosphofructokinase (No2)	642	0.486469206713655	PFKNo2	4.86468720161818e-07	9.99998999830143e-07	1
prot_P06169	Pyruvate decarboxylase (No2)	62	0.263863494726916	PDCNo2	2.6386323082904e-07	9.99998999869703e-07	1
prot_P00359	glyceraldehyde-3-phosphate dehydrogenase (No1)	24.7	0.25993048066886	GLDNo1	2.59930220694166e-07	9.99998999829906e-07	1
prot_P00359	glyceraldehyde-3-phosphate dehydrogenase (reversible) (No1)	24.7	0.25993048066886	GLD_REVNo1	2.59930220694166e-07	9.99998999829906e-07	1
prot_P21954	Isocitrate dehydrogenase (NAD+) (No1)	28	0.193069580091352	IDHNo1	1.93069386965435e-07	9.99998999708203e-07	1
prot_P21954	isocitrate dehydrogenase (NADP) (No1)	28	0.193069580091352	IDPHNo1	1.93069386965435e-07	9.99998999708203e-07	1
prot_P00890	citrate synthase (No1)	141.3	0.18040276994791	CITNo1	1.80402589531369e-07	9.99998999923669e-07	1
prot_P53312	succinate-CoA ligase (ADP-forming) (No1)	200.996944846438	0.170939597432229	LSC2No1	1.7093942644965e-07	9.99998999748555e-07	1
prot_P20967	oxoglutarate dehydrogenase (No1)	27.8	0.170939596780348	KGD1No1	1.70939425818001e-07	9.99998999866911e-07	1
prot_Q00711	Succinate dehydrogenase (No2)	219.3	0.159439166243874	SDHNo2	1.59439006766409e-07	9.99998999759786e-07	1
prot_P14540	Fructose-bisphosphate aldolase (No1)	32.5	0.143249037277706	FBANo1	1.43248894010462e-07	9.99998999872908e-07	1
prot_P14540	Fructose-bisphosphate aldolase (reversible) (No1)	32.5	0.143249037277706	FBA_REVNo1	1.43248894010462e-07	9.99998999872908e-07	1
prot_P11154	pyruvate carboxylase (No2)	60	0.109991679794417	PYCNo2	1.09991569795259e-07	9.99998999932005e-07	1
prot_P11412	glucose 6-phosphate dehydrogenase (No1)	632.8	0.0370654257840446	ZWFNo1	3.70653887102168e-08	9.99998999773321e-07	1
prot_P38858	6-phosphogluconolactonase (No2)	10	0.034235511283802	PGLNo2	3.42354770477386e-08	9.99998999983872e-07	1
prot_P38720	phosphogluconate dehydrogenase (No2)	36.4	0.0333893237209971	GNDNo2	3.33892903234184e-08	9.99998999752767e-07	1
prot_P00560	Phosphoglycerate kinase (No1)	536.7	0.0262805989246042	PGKNo1	2.62805726396583e-08	9.99998999834596e-07	1
prot_P00560	Phosphoglycerate kinase (reversible) (No1)	536.7	0.0262805989246042	PGK_REVNo1	2.62805726396583e-08	9.99998999834596e-07	1
prot_P52910	acetyl-CoA synthetase (No2)	62.4	0.0241705944056314	ACSNo2	2.4170570228671e-08	9.99998999736623e-07	1
prot_P12709	Glucose-6-phosphate isomerase (No1)	685	0.0156564180648041	PGINo1	1.56564024069776e-08	9.99998999910041e-07	1
prot_P12709	Glucose-6-phosphate isomerase (reversible) (No1)	685	0.0156564180648041	PGI_REVNo1	1.56564024069776e-08	9.99998999910041e-07	1
prot_Q12189	ribose-5-phosphate isomerase (No1)	9.6	0.0153757500177579	RPINo1	1.53757346370808e-08	9.99998999679557e-07	1
prot_Q12189	ribose-5-phosphate isomerase (reversible) (No1)	9.6	0.0153757500177579	RPI_REVNo1	1.53757346370808e-08	9.99998999679557e-07	1
prot_P00950	Phosphoglycerate mutase (No1)	576	0.0131992996916648	GPMNo1	1.31992864887284e-08	9.99998999724483e-07	1
prot_P00950	Phosphoglycerate mutase (reversible) (No1)	576	0.0131992996916648	GPM_REVNo1	1.31992864887284e-08	9.99998999724483e-07	1
prot_P19414	Aconitate hydratase, mitochondrial (No1)	143.3	0.0075078828293237	ACONo1	7.50787531981685e-09	9.99998999783691e-07	1
prot_P19414	Aconitate hydratase, mitochondrial (reversible) (No1)	143.3	0.0075078828293237	ACO_REVNo1	7.50787531981685e-09	9.99998999783691e-07	1
prot_P23254	transketolase 1 (No2)	69	0.00609993342459755	TKLaNo2	6.09992732394095e-09	9.99998999881444e-07	1
prot_P23254	transketolase 2 (No2)	69	0.00609993342459755	TKLbNo2	6.09992732394095e-09	9.99998999881444e-07	1
prot_P23254	transketolase 1 (reversible) (No2)	69	0.00609993342459755	TKLa_REVNo2	6.09992732394095e-09	9.99998999881444e-07	1
prot_P23254	transketolase 2 (reversible) (No2)	69	0.00609993342459755	TKLb_REVNo2	6.09992732394095e-09	9.99998999881444e-07	1
prot_P10963	Phosphoenolpyruvate carboxykinase (No1)	62	0.00565993194492299	PCKNo1	5.6599262838247e-09	9.9999899979393e-07	1
prot_P17505	Malate dehydrogenase (No1)	190.4	0.0049667227720563	MDH1No1	4.96671780411765e-09	9.99998999755194e-07	1
prot_P17505	Malate dehydrogenase (reversible) (No1)	190.4	0.0049667227720563	MDH1_REVNo1	4.96671780411765e-09	9.99998999755194e-07	1
prot_P00942	triose-phosphate isomerase (No1)	8662.5	0.00443620614368888	TPINo1	4.43620170666407e-09	9.9999899981546e-07	1
prot_P00942	triose-phosphate isomerase (reversible) (No1)	8662.5	0.00443620614368888	TPI_REVNo1	4.43620170666407e-09	9.9999899981546e-07	1
prot_P00925	Enolase (No3)	71	0.00402166205837412	ENONo3	4.02165803629347e-09	9.99998999895918e-07	1
prot_P00925	Enolase (reversible) (No3)	71	0.00402166205837412	ENO_REVNo3	4.02165803629347e-09	9.99998999895918e-07	1
prot_P00924	Enolase (No2)	71	0.00402166205783557	ENONo2	4.02165803629347e-09	9.9999900002983e-07	1
prot_P00924	Enolase (reversible) (No2)	71	0.00402166205783557	ENO_REVNo2	4.02165803629347e-09	9.9999900002983e-07	1
prot_P38824	ferrocytochrome-c:oxygen oxidoreductase (No5)	12.0000768004915	0.00402166174315224	COX1No5	4.02165772046872e-09	9.99998999745933e-07	1
