uniprot	rxnName	Kcat	ECC	rxnID	delta_V	delta_Ea	option
prot_P04806	hexokinase (D-glucose:ATP) (No3)	274	1.00000000008075	HXKNo3	9.99998999935694e-07	9.99998999854946e-07	1
prot_P00549	Pyruvate kinase (No1)	232	0.652596692828276	CDCNo1	6.52596040171376e-07	9.99998999907742e-07	1
prot_P16862	Phosphofructokinase (No1)	356.999547324574	0.485927100449545	PFKNo1	4.8592661438308e-07	9.99998999713199e-07	1
prot_P16862	Phosphofructokinase (No2)	642	0.485927100410291	PFKNo2	4.8592661438308e-07	9.99998999793981e-07	1
prot_P06169	Pyruvate decarboxylase (No2)	62	0.28243814849186	PDCNo2	2.82437866018671e-07	9.99998999875937e-07	1
prot_P00359	glyceraldehyde-3-phosphate dehydrogenase (No1)	24.7	0.272546533515393	GLDNo1	2.72546260910015e-07	9.99998999784095e-07	1
prot_P00359	glyceraldehyde-3-phosphate dehydrogenase (reversible) (No1)	24.7	0.272546533515393	GLD_REVNo1	2.72546260910015e-07	9.99998999784095e-07	1
prot_P00890	citrate synthase (No1)	141.3	0.246142024181124	CITNo1	2.46141777987142e-07	9.99998999788915e-07	1
prot_P21954	Isocitrate dehydrogenase (NAD+) (No1)	28	0.244954575405451	IDHNo1	2.44954330415271e-07	9.99998999854648e-07	1
prot_P21954	isocitrate dehydrogenase (NADP) (No1)	28	0.244954575405451	IDPHNo1	2.44954330415271e-07	9.99998999854648e-07	1
prot_P33421	Succinate dehydrogenase (No1)	219.3	0.222393029409491	SDHNo1	2.2239280696453e-07	9.99998999766486e-07	1
prot_P33421	Succinate dehydrogenase (No2)	219.3	0.222393029409491	SDHNo2	2.2239280696453e-07	9.99998999766486e-07	1
prot_P53312	succinate-CoA ligase (ADP-forming) (No1)	200.996944846438	0.221205577548401	LSC2No1	2.212053563173e-07	9.99998999884616e-07	1
prot_P20967	oxoglutarate dehydrogenase (No1)	27.8	0.221205577527645	KGD1No1	2.212053563173e-07	9.99998999978446e-07	1
prot_P54115	aldehyde dehydrogenase (acetaldehyde, NADP) (No1)	22	0.141028568388985	ALD6No1	1.41028427333849e-07	9.99998999811615e-07	1
prot_P14540	Fructose-bisphosphate aldolase (No1)	32.5	0.140048352710201	FBANo1	1.40048212636368e-07	9.99998999818061e-07	1
prot_P14540	Fructose-bisphosphate aldolase (reversible) (No1)	32.5	0.140048352710201	FBA_REVNo1	1.40048212636368e-07	9.99998999818061e-07	1
prot_P11154	pyruvate carboxylase (No2)	60	0.123088873477946	PYCNo2	1.23088750352339e-07	9.99998999701569e-07	1
prot_P42222	Enolase (No4)	230.005612136936	0.052670321150215	ENONo4	5.26702684697874e-08	9.9999899980812e-07	1
prot_P42222	Enolase (reversible) (No4)	34.0702036989339	0.0526703211497584	ENO_REVNo4	5.26702684697874e-08	9.99998999816789e-07	1
prot_P12695	pyruvate dehydrogenase (No1)	574.004045580513	0.0509879842256494	PDHNo1	5.09879332280231e-08	9.99998999810896e-07	1
prot_P38858	6-phosphogluconolactonase (No2)	10	0.0340489737801379	PGLNo2	3.4048939721233e-08	9.99998999708329e-07	1
prot_P11412	glucose 6-phosphate dehydrogenase (No1)	632.8	0.0340489737725377	ZWFNo1	3.4048939721233e-08	9.9999899993154e-07	1
prot_P38720	phosphogluconate dehydrogenase (No2)	36.4	0.0332307362616707	GNDNo2	3.32307030258359e-08	9.99998999846572e-07	1
prot_P00560	Phosphoglycerate kinase (No1)	536.7	0.026331941480088	PGKNo1	2.63319151437911e-08	9.99998999834596e-07	1
