enzyme	enzNames	genes	subSystems	usage	usage_regulated	usage_ratio
P00127	QCR6	YFR033C	Oxidative Phosphorylation	0.000237057272	0.000259946875	1.0965572699238
P00128	QCR7	YDR529C	Oxidative Phosphorylation	0.000200075018	0.000219393715	1.09655726733411
P00163	COB	Q0105	Oxidative Phosphorylation	0.000599696316	0.000657601355	1.09655726982972
P00330	ADH1	YOL086C	Anaerobic excretion // Anaerobic excretion	0	0.00113730679	1137306790001
P00358	TDH2	YJR009C	Glycolysis // Glycolysis	0	0	1
P00359	TDH3	YGR192C	Glycolysis // Glycolysis	0.000593576243	0.001326342485	2.23449388455185
P00360	TDH1	YJL052W	Glycolysis // Glycolysis	0	0.001326342485	1326342485001
P00401	COX1	Q0045	Oxidative Phosphorylation // Oxidative Phosphorylation	0.00025622881	0.000280969564	1.09655726848165
P00410	COX2	Q0250	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000124489248	0.00013650959	1.09655727055162
P00420	COX3	Q0275	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000132300674	0.000145075266	1.09655727075059
P00425	COX5B	YIL111W	Oxidative Phosphorylation	7.4939155e-05	7.9318673e-05	1.05844098455529
P00427	COX6	YHR051W	Oxidative Phosphorylation	7.5570559e-05	7.9986976e-05	1.05844097302418
P00549	CDC19	YAL038W	Glycolysis	8.8059875e-05	8.7849186e-05	0.997607434714192
P00560	PGK1	YCR012W	Glycolysis // Glycolysis	3.3714508e-05	0.001322285479	39.2200734165179
P00830	ATP2	YJR121W	Oxidative Phosphorylation	0.00059695721	0.000661881494	1.10875868975582
P00854	ATP6	Q0085	Oxidative Phosphorylation	0.000317021152	0.000351499957	1.10875868938831
P00856	ATP8	Q0080	Oxidative Phosphorylation	6.343101e-05	7.0329683e-05	1.10875868128052
P00890	CIT1	YNR001C	TCA	7.8369889e-05	8.0712069e-05	1.0298862232658
P00924	ENO1	YGR254W	Glycolysis // Glycolysis	0	0.001293589599	1293589599001
P00925	ENO2	YHR174W	Glycolysis // Glycolysis	0	0.001293587943	1293587943001
P00942	TPI1	YDR050C	Glycolysis // Glycolysis	6.20315e-07	6.47883e-07	1.04444193668629
P00950	GPM1	YKL152C	Glycolysis // Glycolysis	1.938608e-05	2.0460131e-05	1.05540320683421
P04037	COX4	YGL187C	Oxidative Phosphorylation	7.4703397e-05	7.9069137e-05	1.05844098361339
P04039	COX8	YLR395C	Oxidative Phosphorylation	7.7626271e-05	8.2162826e-05	1.05844097547777
P04385	GAL1	YBR020W	Galactose metabolism	0	0	1
P04397	GAL10	YBR019C	Galactose metabolism // Galactose metabolism	0	0.001288229835	1288229835001
P04806	HXK1	YFR053C	Glycolysis	5.9837735e-05	5.9043908e-05	0.986733672322545
P04807	HXK2	YGL253W	Glycolysis	0	0	1
P05626	ATP4	YPL078C	Oxidative Phosphorylation	0.000293336702	0.000325239617	1.10875868850496
P06169	PDC1	YLR044C	Anaerobic excretion	1.3637907e-05	3.3575049e-05	2.4618916229989
P07143	CYT1	YOR065W	Oxidative Phosphorylation	0.000467803621	0.000512973461	1.09655726884573
P07170	ADK1	YDR226W	Salvage pathways // Salvage pathways	0	0	1
P07251	ATP1	YBL099W	Oxidative Phosphorylation	0.000638512549	0.000707956337	1.10875868940814
P07255	COX9	YDL067C	Oxidative Phosphorylation // Oxidative Phosphorylation	3.0344028e-05	3.3273965e-05	1.09655728632677
P07256	COR1	YBL045C	Oxidative Phosphorylation	0.000689972574	0.000756594442	1.09655726982549
P07257	QCR2	YPR191W	Oxidative Phosphorylation	0.000556042129	0.000609732038	1.09655726823516
P08067	RIP1	YEL024W	Oxidative Phosphorylation	0.000320962575	0.000351953845	1.09655726995555
P08417	FUM1	YPL262W	TCA // TCA	1.0456063e-05	0.001295491506	123.898594134054
P08431	GAL7	YBR018C	Galactose metabolism // Galactose metabolism	0	0.001288228759	1288228759001
P08525	QCR8	YJL166W	Oxidative Phosphorylation	0.000150755134	0.000165311639	1.09655727545507
P09201	FBP1	YLR377C	Glycolysis	0	1.808124e-05	18081240001
P09457	ATP5	YDR298C	Oxidative Phosphorylation	0.000248552342	0.000275584569	1.10875868954754
P09624	LPD1	YFL018C	Other	0.00034085677	0.000292863294	0.85919752745454
P0CX10	ERR1	YOR393W	Glycolysis // Glycolysis	0	0.001293589041	1293589041001
P0CX11	ERR2	YPL281C	Glycolysis // Glycolysis	0	0.001293589041	1293589041001
P10174	COX7	YMR256C	Oxidative Phosphorylation	3.0209677e-05	3.197516e-05	1.05844097571588
P10963	PCK1	YKR097W	Other	0	3.239703e-05	32397030001
P11154	PYC1	YGL062W	TCA	0.000110396041	0.000181814657	1.64693095288945
P11412	ZWF1	YNL241C	pentose phosphate	6.948613e-06	7.573542e-06	1.08993579005048
P12695	LAT1	YNL071W	Other	2.3729062e-05	2.0387951e-05	0.859197510636569
P12709	PGI1	YBR196C	Glycolysis // Glycolysis	1.6222748e-05	1.6815222e-05	1.0365211861741
P14540	FBA1	YKL060C	Glycolysis // Glycolysis	0.000245310947	0.000258969728	1.05567945975091
P15019	TAL1	YLR354C	pentose phosphate // pentose phosphate	2.6333899e-05	2.8717994e-05	1.09053330841397
P16387	PDA1	YER178W	Other	0.000292471494	0.000251290785	0.859197529179171
P16451	PDX1	YGR193C	Other	2.0772469e-05	1.7847654e-05	0.859197527272314
P16467	PDC5	YLR134W	Anaerobic excretion	0	1.9630938e-05	19630938001
P16861	PFK1	YGR240C	Glycolysis	0	0	1
P16862	PFK2	YMR205C	Glycolysis // Glycolysis	5.8968036e-05	7.1903507e-05	1.21936411448027
P17505	MDH1	YKL085W	TCA // TCA	3.8856855e-05	0.001314741981	33.835522225542
P17709	GLK1	YCL040W	Glycolysis	0	3.545613e-06	3545613001
P19414	ACO1	YLR304C	TCA // TCA	0.000123630524	0.000136979253	1.10797276083609
P19516	COX11	YPL132W	Oxidative Phosphorylation	0	0.000326798747	326798747001
P20967	KGD1	YIL125W	TCA	0.000821839364	0.000914060883	1.11221355783086
P21306	ATP15	YPL271W	Oxidative Phosphorylation	7.3457258e-05	8.1446373e-05	1.10875868794192
P21801	SDH2	YLL041C	TCA // TCA	2.8067845e-05	3.1156777e-05	1.11005233924763
P21826	DAL7	YIR031C	Anaplerotic reactions 	0	0	1
P21954	IDP1	YDL066W	TCA // TCA	0.000350423065	0.000388987937	1.11005232204076
P22289	QCR9	YGR183C	Oxidative Phosphorylation	0.00010270098	0.000112617506	1.09655726751491
P23254	TKL1	YPR074C	pentose phosphate // pentose phosphate // pentose phosphate // pentose phosphate	4.5331537e-05	0	2.20596976444443e-11
P26263	PDC6	YGR087C	Anaerobic excretion	0	1.952575e-05	19525750001
P28240	ICL1	YER065C	Anaplerotic reactions 	1.8540424e-05	1.8540424e-05	1
P30902	ATP7	YKL016C	Oxidative Phosphorylation	0.000215816498	0.000239288417	1.10875868720607
P30952	MLS1	YNL117W	Anaplerotic reactions 	1.2824626e-05	1.2824626e-05	1
P32327	PYC2	YBR218C	TCA	0	0	1
P32340	NDI1	YML120C	Oxidative Phosphorylation	0.00014970241	0.000158825061	1.06093857139601
P32473	PDB1	YBR221C	Other	0.000252778582	0.000217186733	0.859197528848155
P32799	COX13	YGL191W	Oxidative Phosphorylation	6.5458599e-05	6.9284064e-05	1.05844098496428
