enzymes	enzNames	genes	MWs	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	QCR6	YFR033C	17.25682	Oxidative Phosphorylation	2.5430996e-05	3.5285706e-05	4.5216904e-05	5.5224587e-05	6.5308754e-05	7.5469405e-05	8.570654e-05	9.6020159e-05	0.000106410263	0.000116876851	0.000127419923	0.000138039479	0.000148735519	0.000159508044	0.000170357052	0.000181282545	0.000192284522	0.000203362983	0.000214517929	0.000225749359	0.000237057272	0.00024844167	0.000259902552	0.000271439919	0.000283053769	0.000294744104	0.000306510923	0.000318354226	0.000330274013	0.000342270285	0.00035434304	0.00036649228	0.000378718004	0.000391020213	0.000403398905	0.000415854081	0.000428385742	0.000440993887	0.000453678516	0.00046643963	0.000479277227	0.000492191309	0.000505181875	0.000518248925	0.000531392459	0.000544612477	0.00055790898	0.000571281967	0.000584731438	0.000598257393	0.000611859832	0.000625538756	0.000639294163	0.000653126055	0.000667034431	0.000681019292	0.000695080636	0.000702196706	0.000694591427	0.000678540098	0.000662610397	0.000646802325	0.000631115881	0.000615551065	0.000600107878	0.00058478632	0.00056958639	0.000554508088	0.000539551415	0.00052471637	0.000510002954	0.000495411166	0.000480941007	0.000466592476	0.000452365574	0.0004382603	0.000424276654	0.000410414637	0.000396674249	0.000383055488	0.000369558357
P00128	QCR7	YDR529C	14.56466	Oxidative Phosphorylation	2.1463619e-05	2.9780939e-05	3.8162815e-05	4.6609244e-05	5.5120224e-05	6.3695757e-05	7.2335842e-05	8.104048e-05	8.9809669e-05	9.8643411e-05	0.000107541705	0.000116504552	0.00012553195	0.000134623901	0.000143780404	0.000153001459	0.000162287066	0.000171637226	0.000181051938	0.000190531202	0.000200075018	0.000209683387	0.000219356307	0.00022909378	0.000238895805	0.000248762383	0.000258693512	0.000268689194	0.000278749428	0.000288874215	0.000299063553	0.000309317444	0.000319635887	0.000330018882	0.00034046643	0.000350978529	0.000361555181	0.000372196385	0.000382902142	0.00039367245	0.000404507311	0.000415406724	0.00042637069	0.000437399207	0.000448492277	0.000459649899	0.000470872073	0.000482158799	0.000493510078	0.000504925909	0.000516406292	0.000527951227	0.000539560715	0.000551234754	0.000562973346	0.00057477649	0.000586644187	0.00059265011	0.000586231297	0.000572684065	0.000559239486	0.000545897561	0.00053265829	0.000519521672	0.000506487708	0.000493556398	0.000480727742	0.000468001739	0.00045537839	0.000442857695	0.000430439654	0.000418124266	0.000405911532	0.000393801452	0.000381794025	0.000369889253	0.000358087134	0.000346387669	0.000334790857	0.0003232967	0.000311905196
P00163	COB	Q0105	43.65549	Oxidative Phosphorylation	6.4334135e-05	8.9264115e-05	0.000114387593	0.000139704557	0.000165215007	0.000190918943	0.000216816366	0.000242907274	0.000269191668	0.000295669549	0.000322340916	0.000349205768	0.000376264107	0.000403515932	0.000430961243	0.00045860004	0.000486432323	0.000514458092	0.000542677347	0.000571090089	0.000599696316	0.00062849603	0.000657489229	0.000686675915	0.000716056087	0.000745629745	0.000775396889	0.000805357519	0.000835511635	0.000865859237	0.000896400325	0.0009271349	0.00095806296	0.000989184507	0.001020499539	0.001052008058	0.001083710063	0.001115605554	0.001147694531	0.001179976994	0.001212452943	0.001245122378	0.0012779853	0.001311041707	0.0013442916	0.00137773498	0.001411371846	0.001445202197	0.001479226035	0.001513443359	0.001547854169	0.001582458465	0.001617256248	0.001652247516	0.00168743227	0.001722810511	0.001758382237	0.001776384136	0.00175714466	0.001716538764	0.001676240557	0.001636250041	0.001596567214	0.001557192077	0.00151812463	0.001479364874	0.001440912807	0.00140276843	0.001364931743	0.001327402746	0.001290181439	0.001253267822	0.001216661895	0.001180363657	0.00114437311	0.001108690253	0.001073315085	0.001038247608	0.00100348782	0.000969035723	0.000934891315
P00330	ADH1	YOL086C	36.84874	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.164412e-06	1.0184178e-05	1.8140021e-05	2.6031941e-05	3.3859936e-05	4.1624009e-05	4.9324157e-05	5.6960382e-05	6.4532684e-05	7.2041062e-05	7.9485517e-05	8.6866048e-05	9.4182656e-05	0.00010143534	0.0001086241	0.000115748937	0.00012280985	0.00012980684	0.000136739907	0.00014360905	0.000150414269	0.000157155565	0.000163832937
P00358	TDH2	YJR009C	35.84645	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	TDH3	YGR192C	35.74626	Glycolysis // Glycolysis	3.9100084e-05	6.5706794e-05	9.2431047e-05	0.000119272894	0.000146232336	0.000173309372	0.000200504003	0.000227816228	0.000255246047	0.000282793461	0.00031045847	0.000338241072	0.000366141269	0.000394159061	0.000422294446	0.000450547427	0.000478918001	0.00050740617	0.000536011933	0.000564735291	0.000593576243	0.00062253479	0.000651610931	0.000680804666	0.000710115996	0.00073954492	0.000769091438	0.000798755551	0.000828537258	0.00085843656	0.000888453456	0.000918587946	0.000948840031	0.00097920971	0.001009696984	0.001040301852	0.001071024314	0.001101864371	0.001132822022	0.001163897268	0.001195090108	0.001226400542	0.001257828571	0.001289374194	0.001321037412	0.001352818223	0.00138471663	0.00141673263	0.001448866225	0.001481117415	0.001513486199	0.001545972577	0.00157857655	0.001611298117	0.001644137278	0.001677094034	0.001710168384	0.001823386437	0.002055726042	0.002325977482	0.002594156415	0.002860262842	0.003124296762	0.003386258176	0.003646147083	0.003903963484	0.004159707378	0.004413378766	0.004664977647	0.004914504022	0.00516195789	0.005407339251	0.005650648106	0.005891884455	0.006131048297	0.006368139632	0.006603158461	0.006836104784	0.007066978599	0.007295779909	0.007522508711
P00360	TDH1	YJL052W	35.74956	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	COX1	Q0045	58.79755	Oxidative Phosphorylation // Oxidative Phosphorylation	2.7487678e-05	3.8139367e-05	4.8873732e-05	5.9690766e-05	7.059047e-05	8.1572843e-05	9.2637887e-05	0.0001037856	0.000115015982	0.000126329035	0.000137724757	0.000149203148	0.00016076421	0.000172407941	0.000184134342	0.000195943412	0.000207835152	0.000219809562	0.000231866642	0.000244006391	0.00025622881	0.000268533898	0.000280921657	0.000293392085	0.000305945182	0.00031858095	0.000331299387	0.000344100494	0.00035698427	0.000369950716	0.000382999832	0.000396131618	0.000409346073	0.000422643198	0.000436022993	0.000449485457	0.000463030591	0.000476658395	0.000490368868	0.000504162011	0.000518037824	0.000531996306	0.000546037458	0.00056016128	0.000574367772	0.000588656933	0.000603028764	0.000617483265	0.000632020435	0.000646640275	0.000661342785	0.000676127964	0.000690995813	0.000705946332	0.00072097952	0.000736095378	0.000751293906	0.000758985474	0.000750765134	0.000733415685	0.000716197701	0.000699111182	0.000682156128	0.000665332539	0.000648640415	0.000632079756	0.000615650561	0.000599352832	0.000583186567	0.000567151768	0.000551248433	0.000535476563	0.000519836158	0.000504327219	0.000488949744	0.000473703734	0.000458589188	0.000443606108	0.000428754493	0.000414034343	0.000399445657
P00410	COX2	Q0250	28.5669	Oxidative Phosphorylation // Oxidative Phosphorylation	1.335494e-05	1.8530083e-05	2.3745394e-05	2.9000871e-05	3.4296512e-05	3.9632319e-05	4.5008291e-05	5.0424428e-05	5.5880731e-05	6.1377198e-05	6.6913831e-05	7.249063e-05	7.8107593e-05	8.3764722e-05	8.9462015e-05	9.5199474e-05	0.000100977099	0.000106794888	0.000112652843	0.000118550963	0.000124489248	0.000130467698	0.000136486314	0.000142545095	0.000148644041	0.000154783152	0.000160962429	0.000167181871	0.000173441478	0.00017974125	0.000186081187	0.00019246129	0.000198881558	0.000205341991	0.000211842589	0.000218383353	0.000224964281	0.000231585375	0.000238246635	0.000244948059	0.000251689649	0.000258471404	0.000265293324	0.000272155409	0.00027905766	0.000286000076	0.000292982657	0.000300005403	0.000307068314	0.000314171391	0.000321314633	0.00032849804	0.000335721612	0.00034298535	0.000350289253	0.000357633321	0.000365017554	0.000368754517	0.000364760649	0.000356331387	0.000347965997	0.00033966448	0.000331426835	0.000323253063	0.000315143163	0.000307097135	0.00029911498	0.000291196698	0.000283342288	0.000275551751	0.000267825086	0.000260162293	0.000252563373	0.000245028326	0.00023755715	0.000230149848	0.000222806418	0.00021552686	0.000208311175	0.000201159362	0.000194071422
P00420	COX3	Q0275	30.35941	Oxidative Phosphorylation // Oxidative Phosphorylation	1.4192933e-05	1.9692805e-05	2.5235365e-05	3.0820611e-05	3.6448543e-05	4.211916e-05	4.7832462e-05	5.358845e-05	5.9387123e-05	6.5228482e-05	7.1112527e-05	7.7039257e-05	8.3008672e-05	8.9020773e-05	9.507556e-05	0.000101173032	0.000107313189	0.000113496032	0.00011972156	0.000125989774	0.000132300674	0.000138654259	0.000145050529	0.000151489485	0.000157971127	0.000164495454	0.000171062466	0.000177672164	0.000184324548	0.000191019617	0.000197757371	0.000204537811	0.000211360937	0.000218226748	0.000225135245	0.000232086427	0.000239080294	0.000246116847	0.000253196086	0.00026031801	0.000267482619	0.000274689914	0.000281939895	0.000289232561	0.000296567913	0.00030394595	0.000311366672	0.00031883008	0.000326336174	0.000333884953	0.000341476418	0.000349110568	0.000356787403	0.000364506925	0.000372269131	0.000380074023	0.000387921601	0.00039189305	0.000387648576	0.000378690396	0.000369800096	0.000360977677	0.000352223138	0.00034353648	0.000334917701	0.000326366804	0.000317883786	0.000309468649	0.000301121392	0.000292842015	0.000284630519	0.000276486903	0.000268411168	0.000260403313	0.000252463338	0.000244591243	0.000236787029	0.000229050695	0.000221382242	0.000213781669	0.000206248976
