enzNames	proteomics	simulated	simulatedR	Proteins
QCR6	3.09986725356684e-05	0.00218073000403868	0.00197932012504014	P00127
QCR7	3.11787479965314e-05	0.00218073000403868	0.00197932012504014	P00128
ADH1	0.00269485486968562	0.000452749746185132	0.000502312473105268	P00330
TDH2	0.000108859638614314	0	0.00146597412213064	P00358
TDH3	0.00597406621635985	0.0214294848098584	0.0202151709967103	P00359
TDH1	6.66692586967841e-05	0	0.00146994357342101	P00360
COX1	1.23689232809626e-05	0.000691796107973599	0.000627902563117565	P00401
COX2	2.25068251228282e-05	0.000691796107973599	0.000627902563117565	P00410
COX3	1.01407319170937e-06	0.000691796107973599	0.000627902563117565	P00420
COX5B	5.72021800797754e-05	0.000691796107973599	0.00062684770660775	P00425
COX6	2.48190601813926e-05	0.000691796107973599	0.00062684770660775	P00427
CDC19	0.00567636774124082	0.00221901138599786	0.00240075914926923	P00549
PGK1	0.00352010480620335	0.000981907245887156	0.00119498198418622	P00560
ATP2	0.000335821814343567	0.00173762185545766	0.00157957542827048	P00830
ATP6	1.38204656856019e-05	0.00173761073461524	0.00157956531906154	P00854
CIT1	0.000192832740422134	0.000130606928780013	9.779304388766e-05	P00890
ENO1	0.00403575087248513	0	0.000253982973068457	P00924
ENO2	0.00392525074419645	0	0.000253211802883371	P00925
TPI1	0.00197985385253184	3.05240194589498e-05	0.000336789150622066	P00942
GPM1	0.00290860504590332	0.000914912532767813	0.00123938519089893	P00950
COX4	5.10863557132254e-05	0.000691796107973599	0.00062684770660775	P04037
COX8	1.02527901766878e-06	0.0013835922159472	0.0012536954132155	P04039
GAL10	2.79147173005751e-05	0	0	P04397
HXK1	0.00027410932111373	0.00110872273956177	0.00100984183503098	P04806
HXK2	0.00144164350106052	0	0.000141274164909882	P04807
ATP4	7.40630687197145e-05	0.00173761073461524	0.00157956531906154	P05626
PDC1	0.00430123736776057	0.00697365032370682	0.00678217293471498	P06169
CYT1	3.8467082069668e-05	0.00218073000403868	0.00197932012504014	P07143
ADK1	0.00062791419662308	0	0	P07170
ATP1	0.000627287764241127	0.00173762185545766	0.00157957542827048	P07251
COX9	7.82305929825963e-06	0.000691796107973599	0.000627902563117565	P07255
COR1	0.000136804246597074	0.00218073000403868	0.00197932012504014	P07256
QCR2	0.000146231258980516	0.00218073000403868	0.00197932012504014	P07257
RIP1	4.85287944705611e-05	0.00218073000403868	0.00197932012504014	P08067
FUM1	0.000289238776088829	1.62873809784011e-05	1.17694481839838e-05	P08417
QCR8	1.29879147909676e-05	0.00218073000403868	0.00197932012504014	P08525
FBP1	7.50675864327043e-05	0	0	P09201
ATP5	0.000148669893466404	0.00173761073461524	0.00157956531906154	P09457
LPD1	0.000362093816067914	0.000945835913933233	0.000846933551908778	P09624
ERR1	1.60831903269733e-07	0	0.000304057589915432	P0CX10
COX7	1.24009762678158e-05	0.000691796107973599	0.00062684770660775	P10174
PCK1	0.000105901733021965	0	0	P10963
PYC1	0.000151920346160984	0.000372246189174357	0.000381440861476977	P11154
ZWF1	0.00062864556437866	3.39628590614295e-05	3.69456630539249e-05	P11412
LAT1	0.000537879646051408	6.86302929200852e-05	6.14538916666054e-05	P12695
PGI1	0.00141352400078838	0.000383945276848243	0.000519571925915945	P12709
FBA1	0.00241054042449371	0.00814442222997792	0.00879538370383977	P14540
TAL1	0.00077847101889888	0.000199309223369401	0.000321763173673366	P15019
PDA1	0.000527812209902862	0.000945835913933233	0.000846933551908778	P16387
PDX1	0.000276055077329553	6.86302929200852e-05	6.14538916666054e-05	P16451
PDC5	2.78136295573148e-05	0	0.000460351222858808	P16467
PFK1	0.00182699481175587	0	0	P16861
PFK2	0.00121310379688108	0.000741439938694357	0.000800701212459309	P16862
MDH1	0.000146503136994003	8.85413530719706e-05	6.39826098383033e-05	P17505
GLK1	0.000191814549311975	0	6.53264112978554e-05	P17709
ACO1	0.000472091526507107	0.000128784082539273	0.000178906935612393	P19414
COX11	5.58993915169014e-05	0	6.09615241631623e-05	P19516
KGD1	0.00029741960141396	0.000606352698320393	0.000438146357159717	P20967
ATP15	4.64164136008584e-05	0.00173761073461524	0.00157956531906154	P21306
SDH2	5.72877183085802e-05	7.68693083701629e-05	5.55466430179001e-05	P21801
DAL7	2.12818795280264e-05	0	0	P21826
IDP1	0.000401053458421666	0.000659068740172319	0.000493473107389832	P21954
QCR9	3.11763313030782e-06	0.00218073000403868	0.00197932012504014	P22289
TKL1	0.00138301006608167	0.000156988833426142	0.000173974262063143	P23254
PDC6	0.000864514845412932	0	0.000460502776300746	P26263
ICL1	0.000132819564273087	6.32048970947737e-08	6.8946092299588e-08	P28240
ATP7	0.000146199778368428	0.00173761073461524	0.00157956531906154	P30902
MLS1	3.38000018311272e-05	4.34533959568566e-08	4.74004019507172e-08	P30952
PYC2	0.000821758450449779	0	0	P32327
NDI1	5.320891213431e-05	0.000446045722277238	0.00041108766983457	P32340
PDB1	0.000242840169702889	0.000945835913933233	0.000846933551908778	P32473
COX13	4.0279602159583e-05	0.000691796107973599	0.00062684770660775	P32799
TKL2	7.4658656461541e-05	0	0	P33315
PGM1	0.000335303497195048	0	0	P33401
SDH3	2.22341203457912e-05	7.68693083701629e-05	5.55466430179001e-05	P33421
PGM2	8.90567436810605e-05	0	0	P37012
SDH4	1.28787820023959e-05	7.68693083701629e-05	5.55466430179001e-05	P37298
QCR10	5.57578877554958e-06	0.00218073000403868	0.00197932012504014	P37299
ATP3	0.000144725595361964	0.00173761073461524	0.00157956531906154	P38077
ADH5	0.000296616686812725	0	0	P38113
GND1	0.000878382214030685	0.000575758265199702	0.000580233475520871	P38720
COX23	2.03285575579272e-05	0	6.09615241631623e-05	P38824
SOL3	0.000297745219058183	0.00214916972074841	0.0021640424129134	P38858
ALD5	0.000580368932790784	0	3.3182713257617e-05	P40047
GPP2	0.000624832912470225	0	0	P40106
NDE1	0.000202376135674508	0	0	P40215
GPP1	0.000934932840836033	0	2.1427173982585e-05	P41277
GPD2	0.000264542712884766	0	0	P41911
ERR3	1.21332002734794e-05	0.00229120330559205	0.00201521246165068	P42222
CIT3	4.72578045057558e-05	0	0	P43635
ALD4	0.000304142779003621	0	0	P46367
RPE1	0.000263676201087395	9.54381453742631e-05	0.000105764088844203	P46969
YJL045W	3.49546089270012e-05	0	0	P47052
COX16	1.11252483118983e-06	0	6.09615241631623e-05	P47081
ALD2	3.18920859470062e-05	0	0	P47771
PYK2	0.000137091069951654	0	0	P52489
ACS2	0.000874098942870834	8.97475588279585e-05	9.1964591440536e-05	P52910
COX18	6.68161682198614e-06	0	6.09615241631623e-05	P53239
LSC2	0.000183863627850881	8.38649813030508e-05	6.06002679796052e-05	P53312
SOL4	1.89435378204476e-05	0	0.00017387914164848	P53315
GND2	0.000308320796803866	0	4.70172227585515e-05	P53319
LSC1	0.000169238180655171	8.38649813030508e-05	6.06002679796052e-05	P53598
ALD6	0.00129668641190461	0.00113143402512428	0.00103605570735665	P54115
TIM11	5.63544294552643e-05	0.00173761073461524	0.00157956531906154	P81449
ATP18	2.08547607587678e-05	0.00173761073461524	0.00157956531906154	P81450
ATP19	5.05890256394311e-06	0.00173761073461524	0.00157956531906154	P81451
GPD1	0.000193947281284442	0	2.11617041862599e-06	Q00055
SDH1	0.000132815430455338	7.68693083701629e-05	5.55466430179001e-05	Q00711
COX12	1.19512486953304e-05	0.000691796107973599	0.00062684770660775	Q01519
ACS1	0.000142396348053433	0	0	Q01574
HFD1	0.000121116726225869	0	6.14222135207725e-05	Q04458
COX20	9.53713092855398e-05	0	6.09615241631623e-05	Q04935
YLR446W	1.10003752172826e-05	0	0.000222611599246459	Q06204
ATP17	5.453300575789e-05	0.00173761073461524	0.00157956531906154	Q06405
NDE2	4.49781630102118e-05	0	0	Q07500
FAP7	0.000120986351973788	0.000112005849521759	0.000114772728292219	Q12055
ATP16	6.69796130139344e-05	0.00173761073461524	0.00157956531906154	Q12165
RKI1	0.000157814852284976	0.00105472618221824	0.00112788555552621	Q12189
ATP20	4.22854577257556e-05	0.00173761073461524	0.00157956531906154	Q12233
ATP14	1.49294099946492e-05	0.00173761073461524	0.00157956531906154	Q12349
