enzymes	enzNames	genes	MWs	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	QCR6	YFR033C	17.25682	Oxidative Phosphorylation	2.6591007e-05	3.7556685e-05	4.8602327e-05	5.9727942e-05	7.093353e-05	8.2219091e-05	9.3584625e-05	0.000105010087	0.000116446446	0.000127964762	0.000139565033	0.00015124726	0.000163011443	0.000174849436	0.000186760486	0.000198753446	0.000210828314	0.000222985091	0.000235223777	0.000247544372	0.000259946875	0.000272431288	0.000284997609	0.000297645839	0.000310375978	0.000323188026	0.000336081983	0.000349057849	0.000362115623	0.000375255307	0.000388476899	0.0004017804	0.00041516581	0.000428633129	0.000442182357	0.000455813494	0.000469526539	0.000483321493	0.000497198356	0.000511055924	0.000524481239	0.000537985628	0.000549988726	0.000559121159	0.000568367685	0.000577723241	0.00058713451	0.000596604274	0.000606137158	0.000615797979	0.000625587319	0.000635451621	0.000645372421	0.000654833973	0.000663529752	0.000672275431	0.000681159787	0.000683451808	0.000669009482	0.000650842315	0.000632811972	0.000614918454	0.000597149619	0.000579498031	0.00056198454	0.000544609539	0.000527370338	0.000510307153	0.00049354457	0.00047683717	0.000460173291	0.00044357955	0.000427124096	0.000410805758	0.000394625943	0.000378572863	0.000362161235	0.000348948191	0.000339305879	0.000332451289	0.000327340067
P00128	QCR7	YDR529C	14.56466	Oxidative Phosphorylation	2.2442662e-05	3.1697633e-05	4.1020093e-05	5.041005e-05	5.9867504e-05	6.9392455e-05	7.8984902e-05	8.8627929e-05	9.8280152e-05	0.000108001546	0.00011779211	0.000127651845	0.00013758075	0.00014757195	0.000157624811	0.000167746802	0.000177937923	0.000188198175	0.000198527558	0.000208926071	0.000219393715	0.00022993049	0.000240536395	0.000251211431	0.000261955598	0.000272768895	0.000283651323	0.000294602881	0.00030562357	0.00031671339	0.00032787234	0.000339100421	0.000350397632	0.000361763975	0.000373199447	0.000384704051	0.000396277785	0.000407920649	0.000419632645	0.000431328355	0.000442659245	0.000454056874	0.000464187423	0.000471895145	0.000479699161	0.000487595199	0.000495538258	0.000503530686	0.000511576387	0.000519730066	0.000527992214	0.00053631763	0.00054469073	0.000552676227	0.000560015417	0.000567396721	0.000574895068	0.000576829521	0.000564640278	0.00054930729	0.000534089781	0.000518987751	0.000503990954	0.000489093112	0.000474311823	0.000459647419	0.000445097629	0.000430696396	0.000416548869	0.000402447916	0.000388383696	0.000374378671	0.000360490359	0.000346717772	0.000333062098	0.000319513389	0.000305662066	0.000294510331	0.000286372273	0.000280587037	0.000276273194
P00163	COB	Q0105	43.65549	Oxidative Phosphorylation	6.7268677e-05	9.5009132e-05	0.000122951876	0.000151096933	0.000179444301	0.000207993981	0.000236745973	0.000265649569	0.000294580732	0.000323719223	0.000353065042	0.00038261819	0.000412378665	0.000442325863	0.000472457877	0.000502797101	0.000533343533	0.000564097175	0.000595058026	0.000626226086	0.000657601355	0.000689183833	0.000720973521	0.000752970418	0.000785174524	0.000817585839	0.000850204363	0.000883030097	0.000916063039	0.000949303191	0.000982750552	0.001016405123	0.001050266902	0.001084335891	0.001118612088	0.001153095495	0.001187786112	0.001222683937	0.001257788972	0.001292845194	0.001326807921	0.001360970688	0.001391335562	0.001414438358	0.001437829784	0.001461497031	0.001485305215	0.001509261377	0.001533377218	0.001557816708	0.001582581318	0.001607535565	0.001632632738	0.001656568125	0.001678566298	0.001700690704	0.00172316593	0.001728964176	0.001692428659	0.001646470217	0.001600857906	0.001555591726	0.001510640965	0.001465986811	0.001421682005	0.001377727547	0.001334116629	0.001290950987	0.001248545794	0.001206280201	0.001164124706	0.001122146642	0.001080518411	0.001039237047	0.000998306113	0.000957695789	0.000916178426	0.00088275269	0.000858360023	0.000841019603	0.000828089477
P00330	ADH1	YOL086C	36.84874	Anaerobic excretion // Anaerobic excretion	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.00113730679	0.001108697819	0.001077490459	0.001046091	0.001014499443	0.000982706111	0.000950681875	0.00091846554	0.000886057107	0.000853456574	0.000820663943	0.000787679212	0.000754502277	0.000721042068	0.00068738976	0.000653545353	0.000619508847	0.000585280242	0.000550859538	0.000516246735	0.000481441833	0.000446444833	0.000411255733	0.000375874534	0.000340301237	0.00030453584	0.000268578345	0.00023242875	0.000196087057	0.000159553265	0.000122827373	8.5909383e-05	5.6575287e-05	4.6830212e-05	5.1899512e-05	5.6931635e-05	6.1926582e-05	6.6884353e-05	7.1804947e-05	7.6688364e-05	8.1534606e-05	8.6343671e-05	9.1115559e-05	9.5850271e-05	0.000102263417	0.000110197258	0.000118083247	0.00012590005	0.000133648033	0.000141326755	0.000148939908	0.000156639407	0.00016330357	0.00016879196	0.00017337545	0.000177385846
P00358	TDH2	YJR009C	35.84645	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168380013	0.000170178759	0.000190424977	0.000210518556	0.000230459496	0.000250247797	0.00026988346	0.000289366483	0.000308696867	0.000327874613	0.000346899719	0.000365772187	0.000384492015	0.000403059205	0.000421473756	0.000439735667	0.00045784494	0.000475801574	0.000493605569	0.000511256925	0.000521742362	0.000524402367	0.000515051777	0.000503610544
P00359	TDH3	YGR192C	35.74626	Glycolysis // Glycolysis	0.001838906401	0.001815023686	0.001790957226	0.001766707033	0.001742273106	0.001717655445	0.00169285405	0.001667868922	0.00164270006	0.001617347464	0.001591811134	0.001566091071	0.001540187274	0.001514099743	0.001487828479	0.001461373481	0.001434734749	0.001407912284	0.001380906084	0.001353716151	0.001326342485	0.001298785084	0.00127104395	0.001243119082	0.001215010481	0.001186718145	0.001158023652	0.001128619757	0.001099030496	0.001069255869	0.001039286201	0.001009092362	0.000978713158	0.000948148588	0.000917398651	0.00088646335	0.000855342682	0.000824036542	0.000792453863	0.000760685817	0.000728732405	0.000696593628	0.000664269485	0.000731806475	0.000798569636	0.000863203608	0.000928138366	0.000993365525	0.001058831389	0.001123402862	0.001185439423	0.001246917294	0.001308673405	0.001388879817	0.001497703063	0.001607037802	0.001715929232	0.001687613271	0.00196573145	0.002215792862	0.002463941257	0.002710176634	0.00295461467	0.003197326213	0.003438112622	0.003676970137	0.00391392439	0.004148592221	0.004379786577	0.004609845814	0.004838880978	0.005066638509	0.00529246908	0.005516383862	0.005738369439	0.005958538118	0.006181513626	0.006387314608	0.006573430385	0.006755983035	0.006925169174
P00360	TDH1	YJL052W	35.74956	Glycolysis // Glycolysis	0.001838906401	0.001815023686	0.001790957227	0.001766707033	0.001742273106	0.001717655445	0.00169285405	0.001667868922	0.00164270006	0.001617347464	0.001591811135	0.001566091071	0.001540187274	0.001514099744	0.001487828479	0.001461373481	0.001434734749	0.001407912284	0.001380906084	0.001353716151	0.001326342485	0.001298785084	0.00127104395	0.001243119082	0.001215010481	0.001186718145	0.001158023652	0.001128619757	0.001099030496	0.001069255869	0.001039286201	0.001009092362	0.000978713158	0.000948148588	0.000917398652	0.00088646335	0.000855342682	0.000824036543	0.000792453863	0.000760685817	0.000728732405	0.000696593628	0.000664269485	0.000631759976	0.000599065101	0.00056618486	0.000533119253	0.000499868281	0.000466431943	0.000432810239	0.000399003169	0.000365010733	0.000330832932	0.000296469764	0.000261921231	0.000227187332	0.000192268067	0.00016837959	0.000170178331	0.000190424498	0.000210518027	0.000230458917	0.000250247168	0.000269882781	0.000289365755	0.000308696091	0.000327873789	0.000346898847	0.000365771267	0.000384491049	0.000403058192	0.000421472696	0.000439734562	0.000457843789	0.000475800378	0.000493604328	0.00051125564	0.000521741051	0.000524401049	0.000515050483	0.000503609278
P00401	COX1	Q0045	58.79755	Oxidative Phosphorylation // Oxidative Phosphorylation	2.8741502e-05	4.0594007e-05	5.2532944e-05	6.4558321e-05	7.6670138e-05	8.8868397e-05	0.000101153096	0.00011350257	0.000125863822	0.000138313658	0.000150852078	0.000163479082	0.00017619467	0.000188990038	0.000201864371	0.000214827237	0.000227878636	0.000241018569	0.000254247034	0.000267564033	0.000280969564	0.000294463629	0.000308046226	0.000321717357	0.000335477021	0.000349325218	0.000363261948	0.000377287211	0.000391401007	0.000405603337	0.000419894199	0.000434273595	0.000448741523	0.000463297985	0.000477942979	0.000492676507	0.000507498568	0.000522409162	0.000537408289	0.00055238656	0.00056689762	0.00058149415	0.000594467976	0.000604338975	0.000614333296	0.000624445465	0.000634617851	0.000644853463	0.000655157301	0.000665599421	0.000676180454	0.000686842513	0.000697565638	0.000707792374	0.000717191407	0.000726644375	0.000736247236	0.00073872462	0.000723114299	0.000703477898	0.000683989387	0.000664648766	0.000645442912	0.000626363787	0.000607433927	0.000588653757	0.00057002037	0.000551577233	0.000533459009	0.000515400432	0.000497388895	0.000479453168	0.000461666912	0.00044402886	0.000426540534	0.000409189194	0.000391450308	0.000377168685	0.00036674657	0.000359337628	0.000353813047
P00410	COX2	Q0250	28.5669	Oxidative Phosphorylation // Oxidative Phosphorylation	1.3964113e-05	1.9722675e-05	2.5523229e-05	3.1365781e-05	3.7250331e-05	4.3176877e-05	4.9145421e-05	5.5145437e-05	6.1151174e-05	6.719995e-05	7.3291765e-05	7.9426619e-05	8.5604511e-05	9.1821165e-05	9.8076183e-05	0.000104374216	0.000110715263	0.000117099324	0.000123526399	0.000129996487	0.00013650959	0.000143065707	0.000149664837	0.000156306982	0.00016299214	0.000169720313	0.000176491499	0.0001833057	0.000190162914	0.000197063142	0.000204006385	0.000210992641	0.000218021911	0.000225094195	0.000232209493	0.000239367806	0.000246569132	0.000253813472	0.000261100826	0.000268378047	0.000275428273	0.000282520024	0.000288823381	0.000293619225	0.000298474984	0.000303388001	0.000308330274	0.000313303265	0.000318309404	0.000323382728	0.000328523543	0.000333703724	0.000338913574	0.000343882253	0.000348448791	0.000353041533	0.000357707101	0.000358910743	0.000351326439	0.000341786057	0.000332317527	0.00032292085	0.00031358965	0.000304320021	0.000295122913	0.000285998532	0.000276945466	0.000267984834	0.000259182061	0.000250408267	0.000241657328	0.000232943221	0.000224301735	0.000215732255	0.000207235519	0.000198805338	0.000190186867	0.000183248113	0.000178184509	0.000174584861	0.000171900733
P00420	COX3	Q0275	30.35941	Oxidative Phosphorylation // Oxidative Phosphorylation	1.484033e-05	2.0960229e-05	2.7124756e-05	3.3333915e-05	3.9587707e-05	4.5886131e-05	5.2229188e-05	5.8605691e-05	6.4988275e-05	7.1416599e-05	7.7890662e-05	8.4410464e-05	9.0976006e-05	9.758274e-05	0.000104230248	0.000110923468	0.000117662402	0.000124447048	0.000131277408	0.00013815348	0.000145075266	0.000152042764	0.000159055976	0.0001661149	0.000173219538	0.000180369888	0.000187565952	0.000194807728	0.000202095218	0.00020942842	0.000216807335	0.000224231964	0.000231702305	0.00023921836	0.000246780127	0.000254387608	0.000262040801	0.000269739707	0.000277484327	0.000285218178	0.00029271079	0.000300247533	0.000306946412	0.000312043184	0.000317203632	0.000322424929	0.000327677319	0.000332962354	0.000338282617	0.000343674281	0.000349137671	0.000354642897	0.000360179654	0.000365460106	0.000370313184	0.000375194111	0.000380152433	0.000381431601	0.000373371398	0.000363232379	0.00035316972	0.000343183422	0.000333266709	0.000323415432	0.000313641225	0.00030394431	0.000294323184	0.000284800291	0.000275445164	0.000266120834	0.000256820793	0.000247559895	0.000238376175	0.000229268978	0.000220239091	0.000211279934	0.000202120673	0.000194746529	0.000189365195	0.000185539676	0.000182687125
